text,author,categories
"If you're so afraid of failure, you will never succeed. You have to take chances.","Mario Andretti","Failure,Chance,You,Succeed"
"I don't think it's in any way harmful, this marriage of media and politicians. I think it enhances the communications process considerably and makes it possible for the public to be far more aware, far more up-to-date on issues and the opposite sides of the issues.","Walter Cronkite","Marriage,Media,Process,Think"
"It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve; and bad things are very easy to get.","Confucius","Love,Good,Hate,Good Things"
"I teach students that what people say about failure in politics is mostly wrong. People always told me, 'They'll praise you on your way up and kick you on your way down.' That wasn't my experience. I can't walk down the street in Toronto without someone coming up and saying hello.","Michael Ignatieff","Failure,Experience,Politics,People"
"To measure the success of our societies, we should examine how well those with different abilities, including persons with autism, are integrated as full and valued members.","Ban Ki-moon","Success,Measure,Well,Autism"
"I'm a foodie. I enjoy it a lot, and contrary to what it looks, I eat a lot. My comfort food, of all things, would be southern soul barbecue.","Zach Johnson","Food,Soul,Enjoy,Comfort"
"In complete darkness, it is only knowledge and wisdom that separates us.","Janet Jackson","Wisdom,Knowledge,Darkness"
"Priesthood quorums teach and assist their members to attain good health, financial stability, and a year's supply of food and clothing. They also teach their members to be self-reliant and to give their time, talents, and means in behalf of the Church, community, and needy.","Joseph B. Wirthlin","Food,Time,Health,Community"
"You don't need a silver fork to eat good food.","Paul Prudhomme","Food,Good,Good Food,You"
"I'm a little self-conscious about my body. I love to wear hoodies because you can get cozy and eat some food and your belly doesn't show!","Jared Padalecki","Food,Love,Body,You"
"I hope the cooks who are working for me now are getting that kind of experience so they can use what they're learning now as a foundation for a great career.","Thomas Keller","Learning,Hope,Experience,Great"
"I think that gay marriage should be between a man and a woman.","Arnold Schwarzenegger","Marriage,Man,Woman,Gay"
"The biggest misconception people have about me is that when they see how young I am, they think, 'Oh, this guy must have always wanted to be in politics; his parents must have been politically connected.' I'm a finance major and always intended to go into business.","Aaron Schock","Finance,Business,Politics,Parents"
"For me, good films and good books are irreducible to a lesson. You can't just kind of translate them into one statement. On the contrary, the more you do that, the less wisdom in art there is.","Pawel Pawlikowski","Wisdom,Art,Good,Me"
"The Gross National Product measures neither our wit nor our courage, neither our wisdom nor our learning, neither our compassion nor our devotion to our country. It measures everything, in short, except that which makes life worthwhile, and it can tell us everything about America - except whether we are proud to be Americans.","Robert Kennedy","Wisdom,Life,Learning,Courage"
"I may not have proved a great explorer, but we have done the greatest march ever made and come very near to great success.","Robert Falcon Scott","Success,Great,Greatest,Done"
"Well I think in a marriage you have to be honest and ask yourself, you know, what is my role? What is my responsibility?","Hillary Clinton","Marriage,Responsibility,Yourself"
"In almost every marriage there is a selfish and an unselfish partner. A pattern is set up and soon becomes inflexible, of one person always making the demands and one person always giving way.","Iris Murdoch","Marriage,Selfish,Giving,Partner"
"We humans have lost the wisdom of genuinely resting and relaxing. We worry too much. We don't allow our bodies to heal, and we don't allow our minds and hearts to heal.","Thich Nhat Hanh","Wisdom,Worry,Lost,Heal"
"I think that Obama's failure to reestablish the rule of law in money matters is the most damaging thing that he's done - and perhaps the most damaging thing that has happened in American politics in my lifetime. Because once the rule of law is absent in money matters, then anything really goes in politics.","James Howard Kunstler","Failure,Money,Politics,American"
"A man of great memory without learning hath a rock and a spindle and no staff to spin.","George Herbert","Learning,Great,Man,Memory"
"Look, Congress has allocated more money to finance the upcoming Iraqi elections than it has for the American elections. There's something wrong with that.","Donna Brazile","Finance,Money,American,Look"
"We are constituted so that simple acts of kindness, such as giving to charity or expressing gratitude, have a positive effect on our long-term moods. The key to the happy life, it seems, is the good life: a life with sustained relationships, challenging work, and connections to community.","Paul Bloom","Life,Positive,Work,Kindness"
"Watching John Lasseter's films, I think I can understand better than anyone that what he's doing, is going straight ahead with his vision and working really hard to get that vision into film form. And I feel that my understanding this of him is my friendship towards him.","Hayao Miyazaki","Friendship,Vision,Understanding,Think"
"When you come off 'The X Factor,' you're more likely to be a failure than a success because people almost want you to fail. There's this kind of feeling that you're separate from everyone else. You get it from artists, people in the industry, people at record labels.","Olly Murs","Failure,Success,People,Want"
"The main reason for the failure of the modern medical science is that it is dealing with results and not causes. Nothing more than the patching up of those attacked and the burying of those who are slain, without a thought being given to the real strong hold.","Edward Bach","Failure,Science,Strong,Medical"
"I failed the LSAT. Basically, if I had not failed, I'd have been a lawyer and there would be no Spanx. I think failure is nothing more than life's way of nudging you that you are off course. My attitude to failure is not attached to outcome, but in not trying. It is liberating.","Sara Blakely","Failure,Life,Attitude,Lawyer"
"I would have told him that I appreciated his friendship through the years and that I had learned a lot from him. I really loved Frank like you do a brother.","Jimmy Carl Black","Friendship,Brother,Loved,You"
"My parents, and librarians along the way, taught me about the space between words; about the margins, where so many juicy moments of life and spirit and friendship could be found. In a library, you could find miracles and truth and you might find something that would make you laugh so hard that you get shushed, in the friendliest way.","Anne Lamott","Friendship,Life,Truth,Parents"
"Give a little love to a child, and you get a great deal back.","John Ruskin","Love,Family,Great,Child"
"You accept failure as a possible outcome of some of the experiments. If you don't get failures, you're not pushing hard enough on the objectives.","John Poindexter","Failure,You,Accept,Possible"
"Basketball, in America, is like a culture. It is like a foreigner learning a new language. It is difficult to learn foreign languages and it will also be difficult for me to learn the culture for basketball here.","Yao Ming","Learning,Culture,America,Language"
"When I eat with my friends, it is a moment of real pleasure, when I really enjoy my life.","Monica Bellucci","Food,Life,Friends,Moment"
"What does love look like? It has the hands to help others. It has the feet to hasten to the poor and needy. It has eyes to see misery and want. It has the ears to hear the sighs and sorrows of men. That is what love looks like.","Saint Augustine","Love,Sympathy,Help Others,Eyes"
"I used to pre-rehearse everything and then bring my pre-rehearsed performance to the set. Now, I'm learning to let it happen in the moment. American actors are much better at that than British actors. If I knew how to trust myself, I would have been much more relaxed. Maybe I would have less gray hairs today.","Hugh Grant","Learning,Trust,Today,Myself"
"Bad faith likes discourse on friendship and loyalty.","Mason Cooley","Friendship,Faith,Loyalty,Bad"
"Just as the unique characteristics of both males and females contribute to the completeness of a marriage relationship, so those same characteristics are vital to the rearing, nurturing, and teaching of children.","David A. Bednar","Marriage,Relationship,Children"
"I don't know of many evangelicals who want to deny gay couples their legal rights. However, most of us don't want to call it marriage, because we think that word has religious connotations, and we're not ready to see it used in ways that offend us.","Tony Campolo","Marriage,Legal,Gay,Think"
"Daring to set boundaries is about having the courage to love ourselves, even when we risk disappointing others.","Brene Brown","Love,Courage,Risk,Daring"
"The secret to success, to parenting, to life, is to not count up the cost. Don't focus on all the steps it will take. Don't stare into the abyss at the giant leap it will take. That view will keep you from taking the next small step.","Regina Brett","Success,Life,Parenting,Focus"
"A good memory is surely a compost heap that converts experience to wisdom, creativity, or dottiness; not that these things are of much earthly value, but at least they may keep you amused when the world is keeping you locked away or shutting you out.","Michael Leunig","Wisdom,Good,Experience,Creativity"
"I never feel lonely if I've got a book - they're like old friends. Even if you're not reading them over and over again, you know they are there. And they're part of your history. They sort of tell a story about your journey through life.","Emilia Fox","Life,History,Journey,Friends"
"We'll continue to heal human bodies through biotechnology but we'll also increasingly feed, clothe and house the world through bioengineered systems. Ultimately, there's no reason why live animals should be used in any part of our food or goods chain and we're working to make that a reality.","Ryan Bethencourt","Food,World,Reality,Why"
"Save the Children is an awesome charity that has helped more than 125 million children around the world, providing everything from school books to food to blankets and shelter.","PewDiePie","Food,Children,School,World"
"I think about food all the time. It's my passion; it's my profession. But some people think about food all the time because they're hungry. We can put an end to this if we join forces and lend a hand.","Cat Cora","Food,Time,Passion,End"
"I'm into the food in Vegas. I'm willing to go to nice restaurants for sushi and stuff like that.","Britney Spears","Food,Vegas,Sushi,Nice"
"To enter upon the marriage union is one of the most deeply important events of life. It cannot be too prayerfully treated. Our happiness, our usefulness, our living for God or for ourselves afterwards, are often most intimately connected with our choice. Therefore, in the most prayerful manner, this choice should be made.","George Muller","Marriage,Life,Happiness,God"
"The wisdom of the wise is an uncommon degree of common sense.","Dean Inge","Wisdom,Wise,Common Sense,Uncommon"
"Students and postdoctoral fellows largely depend on the support of the public sector to finance the training and research that will make them world-renowned scientists.","Carol W. Greider","Finance,Training,Support,Research"
"A man cannot be said to succeed in this life who does not satisfy one friend.","Henry David Thoreau","Friendship,Life,Man,Friend"
"The objectification of females is not a good thing! Not every rapper does this, but when the lyrics focus solely on the strip club, 'poppin' bottles' and how many girls they can 'tap,' it distorts what kids are learning. I think if there was more of a female presence in hip hop we could break up the monotony. It's all about balance.","Queen Latifah","Learning,Good,Focus,Balance"
"Success on one project does not necessarily mean success in the next project. You've got to be prepared in everything you do.","Helmut Jahn","Success,Be Prepared,You,Mean"
"Our strength in finance has led us to set up an international financial centre with medium and long-term objectives, especially to develop Islamic financial and insurance services.","Hassanal Bolkiah","Finance,Strength,Financial"
"I guess I'm motivated by the fear of failure to some degree and knowing what can happen when you don't do things the way you need to do them to have success.","Nick Saban","Failure,Success,Fear,You"
"Just as physical exercise is a well-known and well-accepted means to improve health for anyone, regardless of age or background, so can the brain be put 'into shape' for optimal learning.","Naveen Jain","Learning,Health,Age,Brain"
"Find a good teacher that will keep the game fun. Work hard and don't be afraid to have success or disappointment. That is what golf is all about.","Paula Creamer","Success,Work,Teacher,Good"
"I like to think I'm a pretty good friend. I love having a good time, and I enjoy being able to share those good times with others.","Jacob Batalon","Love,Time,Good,Friend"
"I used to think that divorce meant failure, but now I see it more as a step along the path of self-realization and growth.","Alana Stewart","Failure,Growth,Path,Step"
"When my mother had four girls, and she could tell her marriage was falling apart, she went back to college and got her degree in music and education.","Andie MacDowell","Marriage,Education,Music,Mother"
"A home with a loving and loyal husband and wife is the supreme setting in which children can be reared in love and righteousness and in which the spiritual and physical needs of children can be met.","David A. Bednar","Love,Family,Home,Children"
"In a full heart there is room for everything, and in an empty heart there is room for nothing.","Antonio Porchia","Love,Heart,Everything,Empty"
"When you encourage others, you in the process are encouraged because you're making a commitment and difference in that person's life. Encouragement really does make a difference.","Zig Ziglar","Life,Commitment,Encouragement"
"Marriage is the most obvious public practice about which information is readily available. When combined with the traditional Jewish concern for continuity and self-preservation - itself only intensified by the memory of the Holocaust - marriage becomes the sine qua non of social membership in the modern Orthodox community.","Noah Feldman","Marriage,Community,Practice,Memory"
"You must learn day by day, year by year to broaden your horizon. The more things you love, the more you are interested in, the more you enjoy, the more you are indignant about, the more you have left when anything happens.","Ethel Barrymore","Wisdom,Love,Day,Enjoy"
"Love is a sacred reserve of energy; it is like the blood of spiritual evolution.","Pierre Teilhard de Chardin","Love,Spiritual,Love Is"
"The best wisdom is earned through experience, particularly mistakes.","Sophia Amoruso","Wisdom,Best,Experience,Mistakes"
"If you look at the common denominator of all the comics who have had big success, it's being true to their nature... that's what takes a long time to learn.","Ron White","Success,Nature,Time,Long"
"Cultivation to the mind is as necessary as food to the body.","Marcus Tullius Cicero","Food,Education,Mind,Body"
"Vanity can easily overtake wisdom. It usually overtakes common sense.","Julian Casablancas","Wisdom,Common Sense,Vanity,Common"
"I got IRS records to finance what I wanted to do.","Penelope Spheeris","Finance,Records,IRS,Got"
"And the thing about me is, I have a lot of mellow songs, because they're the easiest for me to write. I wanted to try to make some more upbeat songs, so, I ended up gravitating toward writing songs with friends, which was a great learning process, and also we came up with great songs. Those are the songs that came out the most naturally.","Priscilla Ahn","Learning,Friends,Great,Writing"
"The next Bill Gates will not start an operating system. The next Larry Page won't start a search engine. The next Mark Zuckerberg won't start a social network company. If you are copying these people, you are not learning from them.","Peter Thiel","Learning,People,Start,Search"
"If all the economists were laid end to end, they'd never reach a conclusion.","George Bernard Shaw","Finance,End,Reach,Economists"
"If music be the food of love, play on.","William Shakespeare","Love,Music,Food,Play"
"The ladder of success is never crowded at the top.","Napoleon Hill","Success,Ladder,Success Is,Top"
"I delivered lectures, and I was also a consultant for international companies in finance, both private equity and big venture capital funds.","Ehud Barak","Finance,Equity,Consultant,Big"
"Nothing succeeds like success. Get a little success, and then just get a little more.","Maya Angelou","Success,Nothing,Just,Little"
"I mix talents and friendship, which is not very professional, but it's my way of thinking. So I love Azzedine Alaia, because I've known him for 30 years, and he's making my dresses most of the time.","Carine Roitfeld","Friendship,Love,Time,Thinking"
"Become slower in your journey through life. Practice yoga and meditation if you suffer from 'hurry sickness.' Become more introspective by visiting quiet places such as churches, museums, mountains and lakes. Give yourself permission to read at least one novel a month for pleasure.","Wayne Dyer","Life,Journey,Mountains,Yourself"
"We came from a family where we ran our own small business. Our dad made his own products. We made our own sausages, our own meatloafs, our own pickles. Dad had to do everything himself. He had to figure out how to finance his business.","Marcy Kaptur","Finance,Family,Business,Small"
"Failure is the condiment that gives success its flavor.","Truman Capote","Success,Failure,Flavor,Gives"
"The ultimate value of life depends upon awareness and the power of contemplation rather than upon mere survival.","Aristotle","Life,Power,Value,Survival"
"I've learned there's a big difference between a long-focused value investor and a good short-seller. That difference is psychological and I think it falls into the realm of behavioral finance.","James Chanos","Finance,Good,Value,Think"
"The turning point was when I hit my 30th birthday. I thought, if really want to write, it's time to start. I picked up the book How to Write a Novel in 90 Days. The author said to just write three pages a day, and I figured, I can do this. I never got past Page 3 of that book.","James Rollins","Motivational,Birthday,Time,Day"
"I grew and learned, journeyed and understood, that someone who is afraid of failing won't get anywhere, and someone who dares to do it runs the risk of failure if they don't learn, correct their mistakes, and get back up.","Fabrizio Moreira","Failure,Mistakes,Risk,Learn"
"I'm learning to trust other people to do things. My time is limited, and I'd rather be spending it with my kids.","Kourtney Kardashian","Learning,Time,Trust,People"
"Success cannot come from standstill men. Methods change and men must change with them.","James Cash Penney","Success,Change,Men,Cannot"
"The luster of an experience can actually go up with time. So, learning to play a new instrument, learning a new language - those sorts of things will pay dividends for years or decades to come.","Dan Buettner","Learning,Time,Experience,Language"
"I was working with Jay Z while I was still learning how to be who I was about to become.","Travis Scott","Learning,Working,Become,Still"
"It is always incomprehensible to a man that a woman should ever refuse an offer of marriage.","Jane Austen","Marriage,Man,Woman,Should"
"Land is the secure ground of home, the sea is like life, the outside, the unknown.","Stephen Gardiner","Life,Home,Sea,Unknown"
"The weaker partner in a marriage is the one who loves the most.","Eleonora Duse","Marriage,Partner,Who,Most"
"I don't rely on feng shui. I believe hard work brings us good luck and success.","John Gokongwei","Success,Work,Hard Work,Good"
"What spectacle can be more edifying or more seasonable, than that of Liberty and Learning, each leaning on the other for their mutual and surest support?","James Madison","Learning,Support,Liberty,More"
"Life is full of misery, loneliness, and suffering - and it's all over much too soon.","Woody Allen","Life,Loneliness,Suffering"
"Traditional marriage is what should be sanctioned.","Jeb Bush","Marriage,Should,Traditional"
"Facts are to the mind what food is to the body.","Edmund Burke","Food,Mind,Body,Facts"
"Like the marriage contract you entered into, your divorce is a legal transaction. Treat it that way. Try not to let emotion, hurt, fear or anger dictate the circumstances of your discussions or negotiations.","Laura Wasser","Marriage,Fear,Anger,Legal"
"All of us are born for a reason, but all of us don't discover why. Success in life has nothing to do with what you gain in life or accomplish for yourself. It's what you do for others.","Danny Thomas","Success,Life,Yourself,You"
"The road to success and the road to failure are almost exactly the same.","Colin R. Davis","Success,Failure,Road,Same"
"Well, I think that there's a very thin dividing line between success and failure. And I think if you start a business without financial backing, you're likely to go the wrong side of that dividing line.","Richard Branson","Finance,Success,Business,Failure"
"My philosophy is my learning process. Until you die, you must evolve and improve.","Miyavi","Learning,Philosophy,Process,Die"
"Many a person has held close, throughout their entire lives, two friends that always remained strange to one another, because one of them attracted by virtue of similarity, the other by difference.","Emil Ludwig","Friendship,Friends,Strange,Virtue"
"I've interviewed presidents and royalty, rock stars and movie stars, famous generals and captains of industry; I've had front row seats at Super Bowls, World Series, and Olympic Games; my books have been on best-seller lists, and my marriage is a long-running success.","Tom Brokaw","Marriage,Success,Stars,World"
"Never does nature say one thing and wisdom another.","Juvenal","Wisdom,Nature,Never,Say"
"Marriage is survived just on the basis of ordinary etiquette, day in and day out. Also cooking together helps a lot... I've seen all these marriages that failed. Those people are always hollering at each other. That doesn't work.","Jim Harrison","Marriage,Work,Day,Together"
"I have a loyalty that runs in my bloodstream, when I lock into someone or something, you can't get me away from it because I commit that thoroughly. That's in friendship, that's a deal, that's a commitment. Don't give me paper - I can get the same lawyer who drew it up to break it. But if you shake my hand, that's for life.","Jerry Lewis","Friendship,Life,Loyalty,Commitment"
"I've lived to see key parts of my research absorbed in textbooks and in central banks around the world. And some finance ministries, too.","Edmund Phelps","Finance,Research,World,Key"
"I want to spend my life with someone and do nice things and go on adventures, read books and have nice food and celebrate things. I don't want to spend the rest of my life in the bedroom like some people who just go to bed and never get out again.","Tracey Emin","Food,Life,Celebrate,People"
"The more natural or eco-based products you can introduce into your beauty regimen, the more beneficial it is for your skin. It's similar to introducing organic food into your daily diet.","Ivanka Trump","Food,Beauty,Daily,Diet"
"Love is like the wild rose-briar; Friendship like the holly-tree. The holly is dark when the rose-briar blooms, but which will bloom most constantly?","Emily Bronte","Friendship,Love,Love Is,Dark"
"A cardinal rule in budgeting and saving is to pay yourself first. Once your paycheck hits your account, wisdom has it that you should move some amount to savings even before you pay the bills.","John Rampton","Wisdom,Yourself,You,Savings"
"Life has been kind to me. I am happy with the love and appreciation that I have been getting throughout my career. I feel blessed.","Vidya Balan","Love,Life,Happy,Appreciation"
"You can't expect to hit the jackpot if you don't put a few nickels in the machine.","Flip Wilson","Motivational,You,Machine,Expect"
"It's almost seems as though there's a battle going on between the public and all the fast-food establishments, and, believe me, I think it's very tasty food.","Regis Philbin","Food,Battle,Believe,Me"
"You don't go into anything contemplating failure, because if you did, you wouldn't make it.","Simon Cowell","Failure,You,Go,Anything"
"I always like to say that our brand or our philosophy has always been kind of this marriage between the 'food as indulgence,' and it's also been about 'food as health,' that food is vitality.","John Mackey","Food,Marriage,Health,Philosophy"
"I have inspiration and feelings of being alive most every day I live.","Judy Collins","Life,Day,Feelings,Inspiration"
"Eros will have naked bodies; Friendship naked personalities.","C. S. Lewis","Friendship,Naked,Will,Personalities"
"Learning music by reading about it is like making love by mail.","Luciano Pavarotti","Learning,Love,Music,Reading"
"To keep your secret is wisdom; to expect others to keep it is folly.","William Samuel Johnson","Wisdom,Others,Secret,Expect"
"During my first marriage, my career was the most important thing in my life.","Michael Douglas","Marriage,Life,My Life,Important"
"I've learned that mistakes can often be as good a teacher as success.","Jack Welch","Success,Teacher,Good,Mistakes"
"I always prayed that God would give me the wisdom and the vision to do the things on this earth that I was supposed to do to express His life and love and His will.","Billy Ray Cyrus","Wisdom,Love,Life,God"
"Keep in mind that neither success nor failure is ever final.","Roger Babson","Failure,Success,Mind,Final"
"I'm not wise, but the beginning of wisdom is there; it's like relaxing into - and an acceptance of - things.","Tina Turner","Wisdom,Wise,Beginning,Acceptance"
"Plunderous is the palate I gift to you, openly I hug the universe of our friendship expanding its outer limit.","Bradley Chicho","Friendship,Gift,Universe,Limit"
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.","Colin Powell","Learning,Work,Success,Business"
"Love me or hate me, both are in my favour. If you love me, I will always be in your heart, and if you hate me, I will be in your mind.","Qandeel Baloch","Love,Heart,Mind,Hate"
"Life's like a play: it's not the length, but the excellence of the acting that matters.","Lucius Annaeus Seneca","Life,Excellence,Acting,Play"
"Love is the only force capable of transforming an enemy into a friend.","Martin Luther King, Jr.","Friendship,Love,Love Is,Friend"
"I think there are a lot of people who are afraid to be who they are, and if I have to sacrifice a little bit of fame and a little bit of success because I'm being 100 percent truthful with who I am, hopefully that will create a paved way for someone else.","Todrick Hall","Success,I Am,Sacrifice,People"
"You have to grow thick skin and that only comes with time and learning.","Karlie Kloss","Learning,Time,Grow,You"
"I want to safeguard the value of lunch. For me, it is sacred. My family and I always have lunch and dinner together. And we always sit down. Food does not taste the same if you are standing up!","Brunello Cucinelli","Food,Family,Together,Lunch"
"Marriage is popular because it combines the maximum of temptation with the maximum of opportunity.","George Bernard Shaw","Marriage,Opportunity,Temptation"
"I think one thing as far as my learning curve and what I'm learning - there is a time to take a sack, and then there is also a time to try to find a way to maybe throw the ball at a receiver's feet.","Brock Osweiler","Learning,Time,Think,Feet"
"We should measure welfare's success by how many people leave welfare, not by how many are added.","Ronald Reagan","Success,People,Measure,Welfare"
"A marriage doesn't have to be perfect, but you can be perfect for each other.","Jessica Simpson","Marriage,Perfect,You,Each"
"It is the hopeful, buoyant, cheerful attitude of mind that wins. Optimism is a success builder; pessimism an achievement killer.","Orison Swett Marden","Success,Attitude,Achievement"
"The man who makes everything that leads to happiness depends upon himself, and not upon other men, has adopted the very best plan for living happily. This is the man of moderation, the man of manly character and of wisdom.","Plato","Wisdom,Happiness,Best,Character"
"When Gingrich attacked CNN's John King for bringing up his alleged proposal of an open marriage to his second wife, Gingrich accused him of lowering the level of discourse in a presidential debate, suggesting that such a discussion is unworthy of consideration by voters.","Robert Dallek","Marriage,Wife,Debate,King"
"My first book was called, 'Mountain, Get Out of My Way,' where I did an autobiographical sketch, if you will, looking back at myself and looking back at things in my life, and juxtaposing them against things that are happening in other people's lives and trying to be motivational.","Montel Williams","Motivational,Life,Myself,Mountain"
"Part of the secret of a success in life is to eat what you like and let the food fight it out inside.","Mark Twain","Success,Life,Food,Fight"
"The Christian life is not a constant high. I have my moments of deep discouragement. I have to go to God in prayer with tears in my eyes, and say, 'O God, forgive me,' or 'Help me.'","Billy Graham","Life,God,Deep,Eyes"
"People talk about bullying, but you can be your own bully in some ways. You can be the person who is standing in the way of your success, and that was the case for me.","Katy Perry","Success,Bullying,People,Me"
"There is the love and marriage and family kind of happiness, which is exceedingly boring to describe but nonetheless is important to have and dreadful not to have.","P. J. O'Rourke","Marriage,Love,Family,Happiness"
"The greatest glory in living lies not in never falling, but in rising every time we fall.","Ralph Waldo Emerson","Failure,Time,Fall,Greatest"
"I am fiscally prudent and socially progressive. I believe in protecting a woman's right to choose. I believe in marriage equality.","Andrew Cuomo","Marriage,Equality,I Am,Woman"
"Sometimes the best lighting of all is a power failure.","Douglas Coupland","Failure,Best,Power,Sometimes"
"I swear Kim Kardashian's first marriage lasted longer than some of my iPhone chargers.","Lilly Singh","Marriage,First,iPhone,Longer"
"Opportunity does not knock, it presents itself when you beat down the door.","Kyle Chandler","Motivational,Opportunity,Door,You"
