text,author,categories
"If you're so afraid of failure, you will never succeed. You have to take chances.",Mario Andretti,"Failure,Chance,You,Succeed"
It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve; and bad things are very easy to get.,Confucius,"Love,Good,Hate"
"To measure the success of our societies, we should examine how well those with different abilities, including persons with autism, are integrated as full and valued members.",Ban Ki-moon,"Success,Measure,Well"
You don't need a silver fork to eat good food.,Paul Prudhomme,"Food,Good,Good Food,You"
I hope the cooks who are working for me now are getting that kind of experience so they can use what they're learning now as a foundation for a great career.,Thomas Keller,"Learning,Hope,Experience,Great"
"The biggest misconception people have about me is that when they see how young I am, they think, 'Oh, this guy must have always wanted to be in politics; his parents must have been politically connected.' I'm a finance major and always intended to go into business.",Aaron Schock,"Finance,Business,Parents"
"The Gross National Product measures neither our wit nor our courage, neither our wisdom nor our learning, neither our compassion nor our devotion to our country. It measures everything, in short, except that which makes life worthwhile, and it can tell us everything about America - except whether we are proud to be Americans.",Robert Kennedy,"Wisdom,Life,Learning,Courage"
"We humans have lost the wisdom of genuinely resting and relaxing. We worry too much. We don't allow our bodies to heal, and we don't allow our minds and hearts to heal.",Thich Nhat Hanh,"Wisdom,Worry,Lost"
A man of great memory without learning hath a rock and a spindle and no staff to spin.,George Herbert,"Learning,Great,Man,Memory"
"We are constituted so that simple acts of kindness, such as giving to charity or expressing gratitude, have a positive effect on our long-term moods. The key to the happy life, it seems, is the good life: a life with sustained relationships, challenging work, and connections to community.",Paul Bloom,"Life,Positive,Work,Kindness"
"When you come off 'The X Factor,' you're more likely to be a failure than a success because people almost want you to fail. There's this kind of feeling that you're separate from everyone else. You get it from artists, people in the industry, people at record labels.",Olly Murs,"Failure,Success,People,Want"
"I failed the LSAT. Basically, if I had not failed, I'd have been a lawyer and there would be no Spanx. I think failure is nothing more than life's way of nudging you that you are off course. My attitude to failure is not attached to outcome, but in not trying. It is liberating.",Sara Blakely,"Failure,Life,Attitude"
"My parents, and librarians along the way, taught me about the space between words; about the margins, where so many juicy moments of life and spirit and friendship could be found. In a library, you could find miracles and truth and you might find something that would make you laugh so hard that you get shushed, in the friendliest way.",Anne Lamott,"Friendship,Life,Truth,Parents"
"When I eat with my friends, it is a moment of real pleasure, when I really enjoy my life.",Monica Bellucci,"Food,Life,Friends,Moment"
"I used to pre-rehearse everything and then bring my pre-rehearsed performance to the set. Now, I'm learning to let it happen in the moment. American actors are much better at that than British actors. If I knew how to trust myself, I would have been much more relaxed. Maybe I would have less gray hairs today.",Hugh Grant,"Learning,Trust,Today,Myself"
"Daring to set boundaries is about having the courage to love ourselves, even when we risk disappointing others.",Brene Brown,"Love,Courage,Risk"
"A good memory is surely a compost heap that converts experience to wisdom, creativity, or dottiness; not that these things are of much earthly value, but at least they may keep you amused when the world is keeping you locked away or shutting you out.",Michael Leunig,"Wisdom,Good,Experience"
"We'll continue to heal human bodies through biotechnology but we'll also increasingly feed, clothe and house the world through bioengineered systems. Ultimately, there's no reason why live animals should be used in any part of our food or goods chain and we're working to make that a reality.",Ryan Bethencourt,"Food,World,Reality,Why"
I think about food all the time. It's my passion; it's my profession. But some people think about food all the time because they're hungry. We can put an end to this if we join forces and lend a hand.,Cat Cora,"Food,Time,Passion,End"
"To enter upon the marriage union is one of the most deeply important events of life. It cannot be too prayerfully treated. Our happiness, our usefulness, our living for God or for ourselves afterwards, are often most intimately connected with our choice. Therefore, in the most prayerful manner, this choice should be made.",George Muller,"Marriage,Life,Happiness,God"
"The objectification of females is not a good thing! Not every rapper does this, but when the lyrics focus solely on the strip club, 'poppin' bottles' and how many girls they can 'tap,' it distorts what kids are learning. I think if there was more of a female presence in hip hop we could break up the monotony. It's all about balance.",Queen Latifah,"Learning,Good,Focus,Balance"
"Just as physical exercise is a well-known and well-accepted means to improve health for anyone, regardless of age or background, so can the brain be put 'into shape' for optimal learning.",Naveen Jain,"Learning,Health,Age,Brain"
"I like to think I'm a pretty good friend. I love having a good time, and I enjoy being able to share those good times with others.",Jacob Batalon,"Love,Time,Good,Friend"
"When my mother had four girls, and she could tell her marriage was falling apart, she went back to college and got her degree in music and education.",Andie MacDowell,"Marriage,Education,Music,Mother"
"In a full heart there is room for everything, and in an empty heart there is room for nothing.",Antonio Porchia,"Love,Heart,Everything"
Marriage is the most obvious public practice about which information is readily available. When combined with the traditional Jewish concern for continuity and self-preservation - itself only intensified by the memory of the Holocaust - marriage becomes the sine qua non of social membership in the modern Orthodox community.,Noah Feldman,"Marriage,Community,Memory"
"If you look at the common denominator of all the comics who have had big success, it's being true to their nature... that's what takes a long time to learn.",Ron White,"Success,Nature,Time,Long"
"And the thing about me is, I have a lot of mellow songs, because they're the easiest for me to write. I wanted to try to make some more upbeat songs, so, I ended up gravitating toward writing songs with friends, which was a great learning process, and also we came up with great songs. Those are the songs that came out the most naturally.",Priscilla Ahn,"Learning,Friends,Great,Writing"
"Nothing succeeds like success. Get a little success, and then just get a little more.",Maya Angelou,"Success,Nothing,Just"
"Become slower in your journey through life. Practice yoga and meditation if you suffer from 'hurry sickness.' Become more introspective by visiting quiet places such as churches, museums, mountains and lakes. Give yourself permission to read at least one novel a month for pleasure.",Wayne Dyer,"Life,Journey,Yourself"
I've learned there's a big difference between a long-focused value investor and a good short-seller. That difference is psychological and I think it falls into the realm of behavioral finance.,James Chanos,"Finance,Good,Value,Think"
"I grew and learned, journeyed and understood, that someone who is afraid of failing won't get anywhere, and someone who dares to do it runs the risk of failure if they don't learn, correct their mistakes, and get back up.",Fabrizio Moreira,"Failure,Mistakes,Risk,Learn"
Success cannot come from standstill men. Methods change and men must change with them.,James Cash Penney,"Success,Change,Men,Cannot"
I don't rely on feng shui. I believe hard work brings us good luck and success.,John Gokongwei,"Success,Work,Hard Work,Good"
Facts are to the mind what food is to the body.,Edmund Burke,"Food,Mind,Body"
"All of us are born for a reason, but all of us don't discover why. Success in life has nothing to do with what you gain in life or accomplish for yourself. It's what you do for others.",Danny Thomas,"Success,Life,Yourself,You"
"Well, I think that there's a very thin dividing line between success and failure. And I think if you start a business without financial backing, you're likely to go the wrong side of that dividing line.",Richard Branson,"Finance,Success,Business,Failure"
Never does nature say one thing and wisdom another.,Juvenal,"Wisdom,Nature,Never"
"I have a loyalty that runs in my bloodstream, when I lock into someone or something, you can't get me away from it because I commit that thoroughly. That's in friendship, that's a deal, that's a commitment. Don't give me paper - I can get the same lawyer who drew it up to break it. But if you shake my hand, that's for life.",Jerry Lewis,"Friendship,Life,Loyalty"
"I want to spend my life with someone and do nice things and go on adventures, read books and have nice food and celebrate things. I don't want to spend the rest of my life in the bedroom like some people who just go to bed and never get out again.",Tracey Emin,"Food,Life,People"
"Love is like the wild rose-briar; Friendship like the holly-tree. The holly is dark when the rose-briar blooms, but which will bloom most constantly?",Emily Bronte,"Friendship,Love,Love Is"
Life has been kind to me. I am happy with the love and appreciation that I have been getting throughout my career. I feel blessed.,Vidya Balan,"Love,Life,Happy"
"It's almost seems as though there's a battle going on between the public and all the fast-food establishments, and, believe me, I think it's very tasty food.",Regis Philbin,"Food,Believe,Me"
"I always like to say that our brand or our philosophy has always been kind of this marriage between the 'food as indulgence,' and it's also been about 'food as health,' that food is vitality.",John Mackey,"Food,Marriage,Health,Philosophy"
I've learned that mistakes can often be as good a teacher as success.,Jack Welch,"Success,Teacher,Good,Mistakes"
Keep in mind that neither success nor failure is ever final.,Roger Babson,"Failure,Success,Mind"
"Love me or hate me, both are in my favour. If you love me, I will always be in your heart, and if you hate me, I will be in your mind.",Qandeel Baloch,"Love,Heart,Mind,Hate"
Love is the only force capable of transforming an enemy into a friend.,"Martin Luther King, Jr.","Friendship,Love,Love Is,Friend"
You have to grow thick skin and that only comes with time and learning.,Karlie Kloss,"Learning,Time,Grow,You"
"We should measure welfare's success by how many people leave welfare, not by how many are added.",Ronald Reagan,"Success,People,Measure"
Part of the secret of a success in life is to eat what you like and let the food fight it out inside.,Mark Twain,"Success,Life,Food"
"People talk about bullying, but you can be your own bully in some ways. You can be the person who is standing in the way of your success, and that was the case for me.",Katy Perry,"Success,People,Me"
"The greatest glory in living lies not in never falling, but in rising every time we fall.",Ralph Waldo Emerson,"Failure,Time,Fall,Greatest"
Sometimes the best lighting of all is a power failure.,Douglas Coupland,"Failure,Best,Power,Sometimes"
"Opportunity does not knock, it presents itself when you beat down the door.",Kyle Chandler,"Motivational,Opportunity,You"
"Contrary to conventional wisdom, the blue blazer's a bit of a loose cannon. A suit decided long ago what it wanted to be, and it doesn't want to hear your ideas, but a blue blazer only got around to half the job. So it leaves it up to you to find its bottoms. Gray slacks, blue jeans, patterns, white pants and different blue shades all work.",Willie Geist,"Wisdom,Work,Job"
First love is only a little foolishness and a lot of curiosity.,George Bernard Shaw,"Love,Love Is,First"
"I think with my journey so far, it never felt like an overwhelming, overnight success story. I think that's good for me because I really got to take my time.",Tori Kelly,"Success,Time,Journey,Good"
The trouble with eating Italian food is that five or six days later you're hungry again.,George Miller,"Food,Eating,You"
"Study nature, love nature, stay close to nature. It will never fail you.",Frank Lloyd Wright,"Love,Learning,Nature,You"
"There is only one difference between a long life and a good dinner: that, in the dinner, the sweets come last.",Robert Louis Stevenson,"Life,Good,Long"
In my life I've learned that true happiness comes from giving. Helping others along the way makes you evaluate who you are. I think that love is what we're all searching for. I haven't come across anyone who didn't become a better person through love.,Marla Gibbs,"Love,Life,Happiness,Love Is"
"Music is the fourth great material want, first food, then clothes, then shelter, then music.",Christian Nestell Bovee,"Food,Music,Great,Want"
My mother had a son from previous marriage and her husband died in Second World War.,Mikhail Baryshnikov,"Marriage,War,Mother"
The regret of my life is that I have not said 'I love you' often enough.,Yoko Ono,"Love,Life,I Love You,Regret"
