text,author,categories
"If you're so afraid of failure, you will never succeed. You have to take chances.",Mario Andretti,"Failure,You,Succeed"
"I teach students that what people say about failure in politics is mostly wrong. People always told me, 'They'll praise you on your way up and kick you on your way down.' That wasn't my experience. I can't walk down the street in Toronto without someone coming up and saying hello.",Michael Ignatieff,"Failure,Experience,Politics,People"
I'm a little self-conscious about my body. I love to wear hoodies because you can get cozy and eat some food and your belly doesn't show!,Jared Padalecki,"Food,Love,Body,You"
"The biggest misconception people have about me is that when they see how young I am, they think, 'Oh, this guy must have always wanted to be in politics; his parents must have been politically connected.' I'm a finance major and always intended to go into business.",Aaron Schock,"Finance,Business,Politics,Parents"
"I may not have proved a great explorer, but we have done the greatest march ever made and come very near to great success.",Robert Falcon Scott,"Success,Great,Greatest,Done"
"Look, Congress has allocated more money to finance the upcoming Iraqi elections than it has for the American elections. There's something wrong with that.",Donna Brazile,"Finance,Money,American,Look"
"When you come off 'The X Factor,' you're more likely to be a failure than a success because people almost want you to fail. There's this kind of feeling that you're separate from everyone else. You get it from artists, people in the industry, people at record labels.",Olly Murs,"Failure,Success,People,Want"
I would have told him that I appreciated his friendship through the years and that I had learned a lot from him. I really loved Frank like you do a brother.,Jimmy Carl Black,"Friendship,You"
"You accept failure as a possible outcome of some of the experiments. If you don't get failures, you're not pushing hard enough on the objectives.",John Poindexter,"Failure,You"
What does love look like? It has the hands to help others. It has the feet to hasten to the poor and needy. It has eyes to see misery and want. It has the ears to hear the sighs and sorrows of men. That is what love looks like.,Saint Augustine,"Love,Eyes"
"The secret to success, to parenting, to life, is to not count up the cost. Don't focus on all the steps it will take. Don't stare into the abyss at the giant leap it will take. That view will keep you from taking the next small step.",Regina Brett,"Success,Life,Focus"
"We'll continue to heal human bodies through biotechnology but we'll also increasingly feed, clothe and house the world through bioengineered systems. Ultimately, there's no reason why live animals should be used in any part of our food or goods chain and we're working to make that a reality.",Ryan Bethencourt,"Food,World,Why"
Students and postdoctoral fellows largely depend on the support of the public sector to finance the training and research that will make them world-renowned scientists.,Carol W. Greider,"Finance,Support"
Success on one project does not necessarily mean success in the next project. You've got to be prepared in everything you do.,Helmut Jahn,"Success,You"
"Just as physical exercise is a well-known and well-accepted means to improve health for anyone, regardless of age or background, so can the brain be put 'into shape' for optimal learning.",Naveen Jain,"Learning,Health,Age"
"I used to think that divorce meant failure, but now I see it more as a step along the path of self-realization and growth.",Alana Stewart,"Failure,Growth,Path,Step"
"In a full heart there is room for everything, and in an empty heart there is room for nothing.",Antonio Porchia,"Love,Heart,Everything"
"You must learn day by day, year by year to broaden your horizon. The more things you love, the more you are interested in, the more you enjoy, the more you are indignant about, the more you have left when anything happens.",Ethel Barrymore,"Wisdom,Love,Day,Enjoy"
"If you look at the common denominator of all the comics who have had big success, it's being true to their nature... that's what takes a long time to learn.",Ron White,"Success,Nature,Time,Long"
"If all the economists were laid end to end, they'd never reach a conclusion.",George Bernard Shaw,"Finance,End"
"Become slower in your journey through life. Practice yoga and meditation if you suffer from 'hurry sickness.' Become more introspective by visiting quiet places such as churches, museums, mountains and lakes. Give yourself permission to read at least one novel a month for pleasure.",Wayne Dyer,"Life,Journey,Yourself"
The ultimate value of life depends upon awareness and the power of contemplation rather than upon mere survival.,Aristotle,"Life,Power,Value,Survival"
"I grew and learned, journeyed and understood, that someone who is afraid of failing won't get anywhere, and someone who dares to do it runs the risk of failure if they don't learn, correct their mistakes, and get back up.",Fabrizio Moreira,"Failure,Mistakes,Risk,Learn"
"The luster of an experience can actually go up with time. So, learning to play a new instrument, learning a new language - those sorts of things will pay dividends for years or decades to come.",Dan Buettner,"Learning,Time,Experience,Language"
"Land is the secure ground of home, the sea is like life, the outside, the unknown.",Stephen Gardiner,"Life,Home"
"What spectacle can be more edifying or more seasonable, than that of Liberty and Learning, each leaning on the other for their mutual and surest support?",James Madison,"Learning,Support,More"
Facts are to the mind what food is to the body.,Edmund Burke,"Food,Mind,Body"
